Fat,Protein,Carbs,Calories
4.0,3.0,25.0,146.1141382286496
4.0,5.0,24.0,150.38646982468103
3.0,4.0,24.0,137.5446757725708
5.0,4.0,31.0,181.85971516901446
9.0,7.0,16.0,171.92261978478166
3.0,5.0,15.0,107.23381581222564
3.0,9.0,4.0,81.42280467190643
5.0,5.0,37.0,208.80831242930617
26.0,8.0,49.0,451.4868946034654
5.0,7.0,7.0,102.37902673210648
15.0,19.0,20.0,288.51145892183445
17.0,13.0,21.0,285.65382919780177
17.0,23.0,5.0,265.0252185494919
18.0,14.0,27.0,321.39940613816674
20.0,14.0,21.0,316.08958261005864
5.0,5.0,21.0,147.7315580606269
29.0,16.0,14.0,376.6309484384948
4.0,6.0,5.0,81.90263838391134
13.0,10.0,24.0,249.78335880552518
16.0,9.0,23.0,268.3121863256657
3.0,7.0,8.0,88.60236452000238
2.0,1.0,6.0,47.901904311622545
3.0,6.0,17.0,118.91322448034752
4.0,6.0,16.0,123.89290701237834
14.0,14.0,27.0,286.2114874178736
0.0,0.0,67.0,259.1182566100287
32.0,25.0,1.0,389.8003539024952
1.0,3.0,18.0,93.0021191521326
1.0,2.0,15.0,77.5054133359683
6.0,20.0,1.0,140.85481036040525
61.0,1.0,4.0,559.2891111398611
33.0,1.0,7.0,324.4255715419366
31.0,10.0,54.0,522.6479074881179
20.0,0.0,7.0,206.02002132894702
4.0,1.0,9.0,76.94775511589646
22.0,28.0,1.0,313.9650002178732
3.0,1.0,20.0,110.14104406429016
8.0,1.0,16.0,138.85675387248673
15.0,12.0,5.0,202.93830109693909
33.0,7.0,56.0,535.7420180282385
1.0,4.0,20.0,104.68152782025444
4.0,3.0,22.0,134.66224678452224
4.0,3.0,22.0,134.66224678452224
3.0,26.0,60.0,363.95328928691185
4.0,7.0,81.0,376.0620360071748
28.0,8.0,61.0,514.8884197401212
